City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
376,Mamallapuram,IN,2023-04-22 14:04:58,12.6264,80.1722,87.85,87.85,77,60,12.28,broken clouds
377,Hirara,JP,2023-04-22 14:04:58,24.8,125.2833,73.26,71.87,78,75,12.66,broken clouds
378,Bathsheba,BB,2023-04-22 14:04:58,13.2167,-59.5167,83.01,83.01,78,40,10.36,scattered clouds
379,Gidole,ET,2023-04-22 14:04:58,5.65,37.3667,64.54,64.54,72,100,2.64,light rain
380,Boyolangu,ID,2023-04-22 14:04:58,-8.1181,111.8935,78.19,78.19,91,89,2.62,overcast clouds
381,Key Largo,US,2023-04-22 14:04:58,25.0865,-80.4473,81.0,78.8,63,67,4.36,broken clouds
382,Sines,PT,2023-04-22 14:04:58,37.9562,-8.8698,66.29,66.29,65,6,8.32,clear sky
383,Shelburne,CA,2023-04-22 14:02:59,44.0787,-80.2041,41.79,37.6,98,100,7.96,moderate rain
384,Soverato,IT,2023-04-22 14:04:59,38.685,16.5499,66.15,63.16,67,50,4.85,scattered clouds
385,Tupik,RU,2023-04-22 14:04:59,54.4253,119.9327,11.19,11.19,91,83,2.44,broken clouds
386,Khani,GE,2023-04-22 14:04:59,41.9563,42.9566,58.57,58.57,62,63,5.86,broken clouds
387,Buala,SB,2023-04-22 14:04:59,-8.145,159.5921,80.91,80.91,82,18,5.7,light rain
388,Coruripe,BR,2023-04-22 14:04:59,-10.1256,-36.1756,85.32,85.32,57,97,14.36,overcast clouds
389,Kirovskiy,RU,2023-04-22 14:04:59,45.0917,133.5136,38.14,38.14,40,59,6.8,broken clouds
390,Bixby,US,2023-04-22 14:04:59,35.942,-95.8833,47.35,45.25,47,40,12.66,scattered clouds
391,Kilindoni,TZ,2023-04-22 14:04:59,-7.9139,39.6668,80.87,80.87,84,96,11.5,light rain
392,Hwange,ZW,2023-04-22 14:04:59,-18.3693,26.5019,93.2,93.2,23,96,2.04,overcast clouds
393,Ostersund,SE,2023-04-22 14:04:59,63.1792,14.6357,48.61,46.85,57,75,11.5,broken clouds
394,Phetchaburi,TH,2023-04-22 14:01:56,12.9667,99.5833,81.23,81.23,67,1,2.48,clear sky
395,Los Llanos De Aridane,ES,2023-04-22 14:04:31,28.6585,-17.9182,68.13,67.75,73,75,5.75,broken clouds
396,Pandan,PH,2023-04-22 14:05:00,14.0453,124.1694,79.92,79.92,87,100,5.99,overcast clouds
397,Elko,US,2023-04-22 14:00:21,41.0002,-115.5012,42.82,38.64,70,100,3.0,overcast clouds
398,Kavaratti,IN,2023-04-22 14:04:55,10.5669,72.642,84.27,84.27,72,95,12.8,overcast clouds
399,Russkaya Polyana,UA,2023-04-22 14:05:00,49.417,31.9201,60.12,60.12,41,100,10.33,overcast clouds
400,Zhireken,RU,2023-04-22 14:05:00,52.8249,117.3076,18.39,18.39,73,15,0.98,few clouds
401,Hervey Bay,AU,2023-04-22 14:05:00,-25.2986,152.8535,71.8,71.8,72,35,21.56,scattered clouds
402,Najran,SA,2023-04-22 14:05:00,17.4924,44.1277,86.65,86.65,30,38,5.19,moderate rain
403,Nalut,LY,2023-04-22 14:05:01,30.3333,10.85,86.31,86.31,16,3,20.51,clear sky
404,Broken Hill,AU,2023-04-22 14:05:01,-31.95,141.4333,61.52,61.52,48,0,9.8,clear sky
405,Kudahuvadhoo,MV,2023-04-22 13:55:02,2.6708,72.8944,84.79,84.79,71,90,7.78,overcast clouds
406,Siuna,NI,2023-04-22 14:05:01,13.7332,-84.7773,80.08,80.08,67,70,3.11,broken clouds
407,Wenling,CN,2023-04-22 14:00:34,28.3669,121.36,59.43,59.43,83,94,2.64,overcast clouds
408,Petropavl,KZ,2023-04-22 14:02:20,54.8753,69.1628,47.5,47.5,84,100,2.84,overcast clouds
409,San Patricio,US,2023-04-22 14:05:02,28.017,-97.5169,76.86,67.15,74,0,10.83,clear sky
410,Xuzhou,CN,2023-04-22 14:05:02,34.1805,117.1571,46.22,46.22,86,100,8.5,light rain
411,Luau,AO,2023-04-22 14:05:02,-10.7073,22.2247,79.0,79.0,65,33,4.59,scattered clouds
412,Mwinilunga,ZM,2023-04-22 14:05:02,-11.7358,24.4293,73.63,73.63,75,98,3.78,light rain
413,Kieta,PG,2023-04-22 14:05:03,-6.2167,155.6333,79.95,79.95,83,34,4.14,scattered clouds
414,Rockhampton,AU,2023-04-22 14:03:41,-23.3833,150.5,71.49,71.49,64,25,10.36,scattered clouds
415,Adrar,MR,2023-04-22 14:06:03,20.5022,-10.0711,88.11,88.11,14,65,13.6,broken clouds
416,Ashcroft,CA,2023-04-22 14:06:03,50.7165,-121.2859,38.3,38.3,89,100,4.72,overcast clouds
