,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Kamwenge,UG,81.48,overcast clouds,0.1866,30.4539,Club Africa Hotel Ltd
129,Sabang,ID,82.4,broken clouds,5.8933,95.3214,Sabang Hill
132,Bolitoc,PH,78.58,scattered clouds,15.7395,119.8769,Coco beach resort
134,Georgetown,MY,85.95,thunderstorm,5.4112,100.3354,Page 63 hostel
136,Doha,QA,80.58,clear sky,25.2867,51.5333,Al MIrqab
137,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,Le Baril
138,Mahebourg,MU,82.26,overcast clouds,-20.4081,57.7,Grand Bel Air
139,Varjota,BR,76.3,broken clouds,-4.1944,-40.4767,Imediato
150,Sorong,ID,82.13,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
155,Morant Bay,JM,73.71,clear sky,17.8815,-76.4093,Morant Villas
159,Vieques,PR,78.84,light rain,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
163,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Pono Kai Resort
166,Vila Velha,BR,73.35,heavy intensity rain,-20.3297,-40.2925,Hotel Prainha
172,Banyo,CM,86.67,clear sky,6.75,11.8167,Hôtel Amin
175,Soyo,AO,83.84,broken clouds,-6.1349,12.3689,Hotel Maria Teres
183,Nizwa,OM,81.32,clear sky,22.9333,57.5333,Nizwa Heritage Inn
186,Honiara,SB,80.87,light rain,-9.4333,159.95,King Solomon Hotel
187,Riyadh,SA,84.34,clear sky,24.6877,46.7219,White Palace Hotel
188,Sur,OM,77.14,clear sky,22.5667,59.5289,Sur Hotel
198,Tutoia,BR,81.68,few clouds,-2.7619,-42.2744,Pousada San Vicente
206,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
213,Faanui,PF,82.36,light rain,-16.4833,-151.75,Oa Oa Lodge
216,Yeppoon,AU,82.18,overcast clouds,-23.1333,150.7333,Blossom's on Seaspray
218,Polewali,ID,85.14,overcast clouds,-3.4324,119.3435,hotel perdana
220,Brownsville,US,72.09,overcast clouds,25.9018,-97.4975,Cameron Hotel
227,Daru,PG,78.44,light rain,-9.0763,143.2092,Kuki
